 	id_cell	Frame	Level:	Parent:	Intensity:	Center:	Diameter:	Division:
139	1	139	0	0	42.176	2	41	0
140	1	140	0	0	38.764	2	51	0
141	3	4	1	1	36.326	66	35	0
142	3	5	1	1	33.658	78	43	0
143	3	6	1	1	31.827	86	47	0
144	3	7	1	1	29.788	98	52	0
145	3	8	1	1	28.711	110	57	0
146	3	9	1	1	26.594	125	65	0
147	3	10	1	1	24.891	141	73	0
148	3	11	1	1	23.539	166	85	1
149	3	12	1	1	25.012	188	44	0
150	3	13	1	1	23.874	214	49	0
151	5	11	1	1	27.109	81	39	0
152	5	12	1	1	25.646	92	45	0
153	5	13	1	1	24.590	103	50	0
154	5	14	1	1	20.246	241	182	0
155	5	15	1	1	21.272	285	83	1
156	9	17	1	1	22.582	95	47	0
157	9	18	1	1	21.957	109	53	0
158	9	19	1	1	21.175	126	62	0
159	9	20	1	1	20.567	144	70	0
160	9	21	1	1	19.805	170	83	1
161	9	22	1	1	19.555	198	98	0
162	9	23	1	1	21.318	231	63	1
163	9	24	1	1	21.671	257	63	0
164	9	25	1	1	22.522	302	75	0
165	9	26	1	1	26.273	305	44	1
166	17	21	1	1	21.702	87	42	0
167	17	22	1	1	21.438	100	46	0
168	17	23	1	1	20.967	114	54	0
169	17	24	1	1	22.538	130	56	0
170	17	25	1	1	24.244	153	70	0
171	17	26	1	1	28.658	175	40	0
172	17	27	1	1	30.280	201	49	0
173	17	28	1	1	34.373	226	54	0
174	17	29	1	1	40.115	253	55	0
175	17	30	1	1	39.805	294	69	1
176	17	31	1	1	46.441	300	29	0
177	33	25	1	1	31.185	83	46	0
178	33	26	1	1	37.801	92	46	0
179	33	27	1	1	38.422	105	54	0
180	33	28	1	1	38.744	119	62	0
181	33	29	1	1	39.682	130	65	0
182	33	30	1	1	40.215	157	43	1
183	33	31	1	1	41.073	187	53	0
184	33	32	1	1	41.085	205	56	0
185	33	33	1	1	43.005	237	65	0
186	33	34	1	1	43.587	275	34	1
187	33	35	1	1	39.675	280	48	0
188	65	30	1	1	51.250	73	36	0
189	65	31	1	1	49.930	86	43	0
190	65	32	1	1	45.432	97	49	0
191	65	33	1	1	46.576	111	55	0
192	65	34	1	1	44.132	129	65	0
193	65	35	1	1	41.831	149	77	1
194	65	36	1	1	44.636	176	44	0
195	65	37	1	1	42.198	202	52	0
196	129	35	1	1	42.946	72	34	0
197	129	36	1	1	43.401	85	40	0
198	129	37	1	1	41.830	97	46	0
199	129	38	1	1	45.490	111	52	0
200	129	39	1	1	45.592	125	59	0
201	129	40	1	1	48.219	144	68	0
202	129	41	1	1	47.558	162	73	1
203	129	42	1	1	48.900	195	90	0
204	129	43	1	1	51.608	221	53	1
205	129	44	1	1	51.443	253	62	0
206	129	45	1	1	46.491	297	80	0
207	129	46	1	1	46.902	350	84	1
208	129	47	1	1	48.418	387	90	0
209	257	41	1	1	46.814	89	50	0
210	257	42	1	1	47.736	105	55	0
211	257	43	1	1	46.419	116	63	0
212	257	44	1	1	46.166	133	72	0
213	257	45	1	1	44.019	154	85	0
214	257	46	1	1	46.161	178	48	1
215	257	47	1	1	49.254	205	50	0
216	257	48	1	1	49.341	230	61	0
217	257	49	1	1	52.486	267	72	0
218	257	50	1	1	48.956	310	88	0
219	257	51	1	1	50.245	307	46	0
220	257	52	1	1	47.003	358	60	1
221	513	46	1	1	40.197	80	39	0
222	513	47	1	1	39.346	92	45	0
223	513	48	1	1	38.081	103	50	0
224	513	49	1	1	38.169	119	58	0
225	513	50	1	1	37.874	136	67	0
226	513	51	1	1	40.500	154	35	1
227	513	52	1	1	39	178	42	0
